trial_index,mechanism,endpoint,residual_norm,n_continuous,n_discrete,tol
0,gearbox,start,0.0,1,1,0.5553603672697958
0,gearbox,goal,0.0,1,1,0.5553603672697958
0,fourbar,start,0.03656102083944435,4,4,0.5553603672697958
0,fourbar,goal,0.09432251058194067,4,4,0.5553603672697958
1,gearbox,start,0.0,1,1,0.5553603672697958
1,gearbox,goal,0.0,1,1,0.5553603672697958
1,fourbar,start,0.03468719647147676,4,4,0.5553603672697958
1,fourbar,goal,0.05843058634632922,4,4,0.5553603672697958
2,gearbox,start,0.0,1,1,0.5553603672697958
2,gearbox,goal,0.0,1,1,0.5553603672697958
2,fourbar,start,0.07608332809798837,4,4,0.5553603672697958
2,fourbar,goal,0.08541817281330952,4,4,0.5553603672697958
3,gearbox,start,0.0,1,1,0.5553603672697958
3,gearbox,goal,0.0,1,1,0.5553603672697958
3,fourbar,start,0.2894736632585436,4,4,0.5553603672697958
3,fourbar,goal,0.35539815447091144,4,4,0.5553603672697958
4,gearbox,start,0.0,1,1,0.5553603672697958
4,gearbox,goal,0.0,1,1,0.5553603672697958
4,fourbar,start,0.0171781767932376,4,4,0.5553603672697958
4,fourbar,goal,0.34367653102748924,4,4,0.5553603672697958
5,gearbox,start,0.0,1,1,0.5553603672697958
5,gearbox,goal,0.0,1,1,0.5553603672697958
5,fourbar,start,0.03940082708862392,4,4,0.5553603672697958
5,fourbar,goal,0.06561223145137934,4,4,0.5553603672697958
6,gearbox,start,0.0,1,1,0.5553603672697958
6,gearbox,goal,0.0,1,1,0.5553603672697958
6,fourbar,start,0.18052434320779595,4,4,0.5553603672697958
6,fourbar,goal,0.05623237053132655,4,4,0.5553603672697958
7,gearbox,start,0.0,1,1,0.5553603672697958
7,gearbox,goal,0.0,1,1,0.5553603672697958
7,fourbar,start,0.011117989525219705,4,4,0.5553603672697958
7,fourbar,goal,0.09870494718007235,4,4,0.5553603672697958
8,gearbox,start,0.0,1,1,0.5553603672697958
8,gearbox,goal,0.0,1,1,0.5553603672697958
8,fourbar,start,0.07459383353014765,4,4,0.5553603672697958
8,fourbar,goal,0.12458768395588096,4,4,0.5553603672697958
9,gearbox,start,0.0,1,1,0.5553603672697958
9,gearbox,goal,0.0,1,1,0.5553603672697958
9,fourbar,start,0.15812126731009402,4,4,0.5553603672697958
9,fourbar,goal,0.022522847144041076,4,4,0.5553603672697958
10,gearbox,start,0.0,1,1,0.5553603672697958
10,gearbox,goal,0.0,1,1,0.5553603672697958
10,fourbar,start,0.15932665029400642,4,4,0.5553603672697958
10,fourbar,goal,0.09896361503423089,4,4,0.5553603672697958
11,gearbox,start,0.0,1,1,0.5553603672697958
11,gearbox,goal,0.0,1,1,0.5553603672697958
11,fourbar,start,0.00801680285519497,4,2,0.5553603672697958
11,fourbar,goal,0.028923362971776067,4,4,0.5553603672697958
12,gearbox,start,0.0,1,1,0.5553603672697958
12,gearbox,goal,0.0,1,1,0.5553603672697958
12,fourbar,start,0.1845174354528345,4,4,0.5553603672697958
12,fourbar,goal,0.10995437038323316,4,4,0.5553603672697958
13,gearbox,start,0.0,1,1,0.5553603672697958
13,gearbox,goal,0.0,1,1,0.5553603672697958
13,fourbar,start,0.023450859516394622,4,4,0.5553603672697958
13,fourbar,goal,0.0666656862705452,4,2,0.5553603672697958
14,gearbox,start,0.0,1,1,0.5553603672697958
14,gearbox,goal,0.0,1,1,0.5553603672697958
14,fourbar,start,0.045951496410071305,4,4,0.5553603672697958
14,fourbar,goal,0.047504327644786515,4,4,0.5553603672697958
15,gearbox,start,0.0,1,1,0.5553603672697958
15,gearbox,goal,0.0,1,1,0.5553603672697958
15,fourbar,start,0.16413856701507987,4,4,0.5553603672697958
15,fourbar,goal,0.02944796595744287,4,4,0.5553603672697958
16,gearbox,start,0.0,1,1,0.5553603672697958
16,gearbox,goal,0.0,1,1,0.5553603672697958
16,fourbar,start,0.03715182043696563,4,4,0.5553603672697958
16,fourbar,goal,0.12266335920058852,4,4,0.5553603672697958
17,gearbox,start,0.0,1,1,0.5553603672697958
17,gearbox,goal,0.0,1,1,0.5553603672697958
17,fourbar,start,0.06807992965331197,4,4,0.5553603672697958
17,fourbar,goal,0.04027732909325776,4,4,0.5553603672697958
18,gearbox,start,0.0,1,1,0.5553603672697958
18,gearbox,goal,0.0,1,1,0.5553603672697958
18,fourbar,start,0.03588650313938495,4,4,0.5553603672697958
18,fourbar,goal,0.01776033477244887,4,4,0.5553603672697958
19,gearbox,start,0.0,1,1,0.5553603672697958
19,gearbox,goal,0.0,1,1,0.5553603672697958
19,fourbar,start,0.4132056396917161,4,4,0.5553603672697958
19,fourbar,goal,0.05527242390558539,4,4,0.5553603672697958
